1 qid:1 1:0.938316051137885 2:0.312304479014337 3:0.905109489051095 4:0.0012144885 5:0.0966057441253264 6:79.2960061889566 7:0.910077906253969 
2 qid:1 1:0.971360107302396 2:0.39827607549041 3:0.979338842975207 4:0.002324888 5:0.158578263841422 6:67.2134882661198 7:0.983085879754136 
1 qid:2 1:0.20634297510619 2:0.0530460706341421 3:0.078537170263789 4:6.99407E-4 5:0.0 6:2.16452739209415 7:0.0435512344882971 
2 qid:2 1:0.390946642172376 2:0.0992275476137982 3:0.0890302066772655 4:0.0017249374 5:0.0 6:4.415294262533 7:0.0700199627866722 
1 qid:3 1:0.910838354836686 2:0.187527699641253 3:0.946107784431138 4:0.001499908 5:0.035075329566855 6:22.3991325686241 7:0.949364140190441 
2 qid:3 1:0.898325145087259 2:0.229712387987221 3:0.870748299319728 4:0.001239434 5:0.051707779886148 6:41.5494340116469 7:0.873188890783228 
1 qid:4 1:0.936802217933814 2:0.354733260517581 3:0.942567567567568 4:0.0027185834 5:0.125418860698899 6:45.264635294041 7:0.944417104607773 
2 qid:4 1:0.927725917450576 2:0.372103934437116 3:0.928977272727273 4:0.003183245 5:0.137710898312813 6:42.4728030747183 7:0.929891082876043 
1 qid:5 1:0.924867893851962 2:0.194998441470597 3:0.958579881656805 4:0.0015418306 5:0.0379715825575698 6:23.6176348919016 7:0.962542855655273 
2 qid:5 1:0.949524910996558 2:0.372480466743007 3:0.962962962962963 4:0.003040287 5:0.138568129330254 6:44.611478490382 7:0.965082546447355 
1 qid:6 1:0.327122469967103 2:0.0777215911813635 3:0.191161356628983 4:0.0012834215 5:0.0 6:3.26521391122325 7:0.140365562278847 
2 qid:6 1:0.962434702359979 2:0.629440454844846 3:0.908517350157729 4:0.00284921 5:0.392424242424242 6:138.047138047138 7:0.910520546719459 
1 qid:7 1:0.967292010393041 2:0.315544769632922 3:0.98671096345515 4:0.0028720043 5:0.0995582738702005 6:33.6380073117209 7:0.98966231717851 
2 qid:7 1:0.932794556332209 2:0.322429295260706 3:0.875912408759124 4:0.0011763785 5:0.102081268582755 6:87.3618911279962 7:0.880273440496087 
1 qid:8 1:0.761307251778733 2:0.172355784802258 3:0.697318007662835 4:0.0016997178 5:0.0241897604509159 6:16.412440085526 7:0.68544807800307 
2 qid:8 1:0.70527622858331 2:0.221463444276268 3:0.258064516129032 4:0.002273536 5:0.0 6:20.5213628245638 7:0.248106844344803 
1 qid:9 1:0.939989186862802 2:0.243632123194828 3:0.968468468468468 4:0.002062846 5:0.0593099515255204 6:27.7367343235607 7:0.971736056218868 
2 qid:9 1:0.910612156719464 2:0.335673363263113 3:0.846153846153846 4:0.0018292962 5:0.109129814550642 6:60.5788208625642 7:0.847172425904329 
1 qid:10 1:0.955499676049316 2:0.195506227415788 3:0.981481481481482 4:0.001514688 5:0.0382165605095541 6:24.1915727584517 7:0.986968035196731 
2 qid:10 1:0.992939814461858 2:0.916697223750085 3:0.968421052631579 4:0.0027410006 5:0.839622641509434 6:305.575927284041 7:0.971641267995477 
1 qid:11 1:0.0 2:0.113588739033215 3:0.990291262135922 4:9.309372E-4 5:0.0129024016351559 6:12.7746550843127 7:1.0 
2 qid:11 1:0.0 2:0.188811837218495 3:0.994444444444444 4:0.0016911246 5:0.0356499098738234 6:20.0280392549569 7:1.0 
