1 qid:1 1:0.653872702192866 2:0.7568231799431 3:0.890173410404624 4:0.141909936844934 5:0.564853556485356 6:1.82691037216472 7:0.793701120270556 
2 qid:1 1:0.637499532570723 2:0.776783503565202 3:0.8 4:0.150749126578877 5:0.567164179104478 6:1.95003704879856 7:0.665356957520943 
1 qid:2 1:0.0 2:0.730449893544975 3:0.993788819875776 4:0.126856019887127 5:0.268421052631579 6:1.63758389261745 7:1.0 
2 qid:2 1:0.720800337133464 2:0.75004280406585 3:0.937106918238994 4:0.139780972856759 5:0.545833333333333 6:1.85494144236696 7:0.88343949044586 
1 qid:3 1:0.612435158382914 2:0.761195454320678 3:0.797872340425532 4:0.144433619994625 5:0.543689320388349 6:1.8976928698194 7:0.65576145809502 
2 qid:3 1:0.757210964944336 2:0.768193336318508 3:0.951515151515152 4:0.146503796022575 5:0.557446808510638 6:1.84601954460583 7:0.910821041639473 
1 qid:4 1:0.554219449599682 2:0.711124770397106 3:0.845714285714286 4:0.121796056167697 5:0.477178423236515 6:1.67878121270272 7:0.69568033003142 
2 qid:4 1:0.79081046218848 2:0.828045903916777 3:0.932926829268293 4:0.169981187852728 5:0.682692307692308 6:2.20132953466287 7:0.892416225749559 
1 qid:5 1:0.627333381960051 2:0.795285037735925 3:0.824884792626728 4:0.154398179252889 5:0.605150214592275 6:1.73398542768739 7:0.670661194710442 
2 qid:5 1:0.771433310470958 2:0.829173454239894 3:0.917647058823529 4:0.170888202096211 5:0.682692307692308 6:2.16460622710623 7:0.865136054421769 
1 qid:6 1:0.718138790811096 2:0.756877315168416 3:0.93125 4:0.142720370868046 5:0.570247933884298 6:1.88890051260592 7:0.87444684573428 
2 qid:6 1:0.703265242233544 2:0.801551224726991 3:0.904255319148936 4:0.159642905133029 5:0.635983263598326 6:1.8552211274576 7:0.820874897439219 
1 qid:7 1:0.607572946736087 2:0.734240446130852 3:0.618257261410788 4:0.132667629669444 5:0.335294117647059 6:1.7776027565838 7:0.415699586852977 
2 qid:7 1:0.602025469394481 2:0.777453249115912 3:0.712 4:0.145055092717012 5:0.507177033492823 6:1.6664608735916 7:0.499248468030986 
1 qid:8 1:0.814267755672193 2:0.791366365219572 3:0.972067039106145 4:0.153831295350712 5:0.536697247706422 6:1.76656204226826 7:0.94941170372674 
2 qid:8 1:0.816168432688886 2:0.805840510333295 3:0.964497041420118 4:0.162263168503091 5:0.648760330578512 6:1.95615380808631 7:0.94060659169466 
1 qid:9 1:0.579749264522255 2:0.698575786927446 3:0.891566265060241 4:0.11529158828272 5:0.357798165137615 6:1.62005420054201 7:0.767957037368539 
2 qid:9 1:0.776881004743965 2:0.819317393770898 3:0.945054945054945 4:0.167495296963182 5:0.669421487603306 6:1.91570247933884 7:0.900813008130081 
