1 qid:1 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
2 qid:1 1:0.0 2:0.866025403784439 3:0.983050847457627 4:0.1767 5:0.75 6:2.63157894736842 7:1.0 
1 qid:2 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
2 qid:2 1:0.748592554232326 2:0.781575158578359 3:0.867924528301887 4:0.142125 5:0.6 6:2.71493212669683 7:0.825708061002179 
1 qid:3 1:0.0 2:0.752189785681919 3:0.977777777777778 4:0.1333 5:0.565789473684211 6:2.63157894736842 7:1.0 
2 qid:3 1:0.806769346486564 2:0.828517156108491 3:0.754098360655738 4:0.15125 5:0.62 6:3.05084745762712 7:0.683615819209039 
1 qid:4 1:0.0 2:0.819178021909125 3:0.981132075471698 4:0.1581 5:0.671052631578947 6:2.63157894736842 7:1.0 
2 qid:4 1:0.806769346486564 2:0.828517156108491 3:0.754098360655738 4:0.15125 5:0.62 6:3.05084745762712 7:0.683615819209039 
1 qid:5 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:5 1:0.0 2:0.88578517972214 3:0.981132075471698 4:0.172125 5:0.784615384615385 6:3.07692307692308 7:1.0 
1 qid:6 1:0.0 2:0.819178021909125 3:0.981132075471698 4:0.1581 5:0.671052631578947 6:2.63157894736842 7:1.0 
2 qid:6 1:0.0 2:0.910465468000326 3:0.984615384615385 4:0.1953 5:0.828947368421053 6:2.63157894736842 7:1.0 
1 qid:7 1:0.0 2:0.760885910252682 3:0.978260869565217 4:0.1364 5:0.578947368421053 6:2.63157894736842 7:1.0 
2 qid:7 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
1 qid:8 1:0.0 2:0.796117338651413 3:0.978723404255319 4:0.145125 5:0.633802816901408 6:2.8169014084507 7:1.0 
2 qid:8 1:0.796953066901664 2:0.837868898753245 3:0.88135593220339 4:0.162375 5:0.692307692307692 6:2.75303643724696 7:0.844054580896686 
1 qid:9 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:9 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
1 qid:10 1:0.0 2:0.819178021909125 3:0.981132075471698 4:0.1581 5:0.671052631578947 6:2.63157894736842 7:1.0 
2 qid:10 1:0.0 2:0.948683298050514 3:0.978723404255319 4:0.16875 5:0.9 6:4.0 7:1.0 
1 qid:11 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
